source_dataset,source_sheet,alloy,material_class,condition,loading_protocol,overload_ratio,delta_k_mpa_sqrt_m,dadn_mm_per_cycle,hardness_hv,microstructure_family,grain_size_um,temperature_C,stress_ratio_R,data_type,log_delta_k,log_dadn,is_austenitic,is_measured,grain_size_um_filled,inv_sqrt_grain_size
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,10.5,1.06908e-05,367.58,tempered_martensitic,,20,,measured,1.021189299069938,-4.970989795017061,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,11.0,1.23492e-05,367.58,tempered_martensitic,,20,,measured,1.0413926851582251,-4.908361175751602,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,11.5,1.41738e-05,367.58,tempered_martensitic,,20,,measured,1.0606978403536116,-4.848513699661789,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,12.0,1.61728e-05,367.58,tempered_martensitic,,20,,measured,1.0791812460476249,-4.791214784096198,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,12.5,1.83546e-05,367.58,tempered_martensitic,,20,,measured,1.0969100130080565,-4.736255075593972,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,13.0,2.07275e-05,367.58,tempered_martensitic,,20,,measured,1.1139433523068367,-4.68345307618298,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,13.5,2.33001e-05,367.58,tempered_martensitic,,20,,measured,1.130333768495006,-4.632642215053166,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,14.0,2.60807e-05,367.58,tempered_martensitic,,20,,measured,1.146128035678238,-4.583680756419505,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,14.5,2.90779e-05,367.58,tempered_martensitic,,20,,measured,1.1613680022349748,-4.536436961339275,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,15.0,3.23002e-05,367.58,tempered_martensitic,,20,,measured,1.1760912590556813,-4.490794788547304,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,15.5,3.57562e-05,367.58,tempered_martensitic,,20,,measured,1.1903316981702914,-4.44664864218938,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,16.0,3.94543e-05,367.58,tempered_martensitic,,20,,measured,1.2041199826559248,-4.403905657486149,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,16.5,4.34033e-05,367.58,tempered_martensitic,,20,,measured,1.2174839442139063,-4.362477249351405,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,17.0,4.76118e-05,367.58,tempered_martensitic,,20,,measured,1.2304489213782739,-4.322285399384756,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,17.5,5.20884e-05,367.58,tempered_martensitic,,20,,measured,1.2430380486862944,-4.2832589825911676,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,18.0,5.68418e-05,367.58,tempered_martensitic,,20,,measured,1.255272505103306,-4.24533217779436,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,18.5,6.18807e-05,367.58,tempered_martensitic,,20,,measured,1.2671717284030137,-4.208444782166952,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,19.0,6.72139e-05,367.58,tempered_martensitic,,20,,measured,1.2787536009528289,-4.172540904490015,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,19.5,7.28501e-05,367.58,tempered_martensitic,,20,,measured,1.290034611362518,-4.137569847745489,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,20.0,7.87981e-05,367.58,tempered_martensitic,,20,,measured,1.3010299956639813,-4.103484254204147,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,20.5,8.50667e-05,367.58,tempered_martensitic,,20,,measured,1.3117538610557542,-4.070240414492482,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,21.0,9.16648e-05,367.58,tempered_martensitic,,20,,measured,1.3222192947339193,-4.037797404794351,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,21.5,9.86012e-05,367.58,tempered_martensitic,,20,,measured,1.3324384599156054,-4.006117799559732,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,22.0,0.000105885,367.58,tempered_martensitic,,20,,measured,1.3424226808222062,-3.975165559048635,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,22.5,0.000113524,367.58,tempered_martensitic,,20,,measured,1.3521825181113625,-3.944912314984315,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,23.0,0.000121529,367.58,tempered_martensitic,,20,,measured,1.3617278360175928,-3.915320075669272,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,23.5,0.000129907,367.58,tempered_martensitic,,20,,measured,1.3710678622717363,-3.886367446467654,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,24.0,0.000138668,367.58,tempered_martensitic,,20,,measured,1.380211241711606,-3.8580237482045163,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,24.5,0.000147822,367.58,tempered_martensitic,,20,,measured,1.3891660843645324,-3.830260926106407,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,CA,long_crack,1.0,25.0,0.000157375,367.58,tempered_martensitic,,20,,measured,1.3979400086720377,-3.803064256884081,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.08309,6.20437e-06,367.58,tempered_martensitic,,20,,measured,1.003593643647429,-5.207302310767067,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.09005,6.24675e-06,367.58,tempered_martensitic,,20,,measured,1.0038933183350565,-5.204345874523492,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.09706,6.34345e-06,367.58,tempered_martensitic,,20,,measured,1.0041949369858203,-5.197674478956507,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.10419,6.48809e-06,367.58,tempered_martensitic,,20,,measured,1.0045015041323633,-5.187883134408449,0,1,20.0,0.22360679774997896
